UUID,URL
4b56152e-626e-4bf6-b876-544627177bfd,https://www.kotaksecurities.com/
b8ac2e38-8780-4638-bf5f-439678bf43e4,https://www.kotaksecurities.com/investment-products/currency/
0aa01a1e-f364-4cfd-962a-76fe3e0947a1,https://www.kotaksecurities.com/futures-and-options/
5d62ca17-8a49-49f3-874c-e442427e46ea,https://www.kotaksecurities.com/investment-products/ipo/tarsons-products-limited-ipo
5bc96f59-5d79-4c2e-9b6b-e0c84f24a65c,https://www.kotaksecurities.com/investment-products/mutual-fund/
c0b9470c-9f06-45dd-89f2-05f5f99db7b1,https://www.kotaksecurities.com/sovereign-gold-bond/
ab1c0356-db02-4103-9b91-231d71c38abb,https://www.kotaksecurities.com/open-demat-account/
a4a348ea-2997-410b-94de-a9adb80b3668,https://www.kotaksecurities.com/articles/demat-account-tips-from-industry-experts/
355df2cb-218b-46f1-8e96-9d505fcb8993,https://www.kotaksecurities.com/demat-account/benefits-of-demat-account-every-investor-should-know/
3f3556a4-ae04-4c43-8254-e6c63b1be62a,https://www.kotaksecurities.com/demat-account/best-demat-account/
ad572784-65d8-4de8-980e-1cd73f8cec25,https://www.kotaksecurities.com/demat-account/bonus-shares/
6dcb129f-f9a7-49a8-a2f7-e01ff06e0b6a,https://www.kotaksecurities.com/demat-account/buy-mutual-fund-without-demat-account/
b9581c24-a9d4-4632-8c4b-b99026e9ee26,https://www.kotaksecurities.com/demat-account/can-person-have-multiple-demat-accounts/
b73da9c9-87a1-40bf-9da6-fd40c2b73d6f,https://www.kotaksecurities.com/demat-account/can-you-have-2-demat-accounts/
956bd673-2afd-4179-aacd-1b27bea7cbe9,https://www.kotaksecurities.com/demat-account/client-id/
f0ae498d-310c-48dc-a278-d55152b1cd18,https://www.kotaksecurities.com/demat-account/collateral-amount-demat-account/
8a7cbdc4-c7a5-449a-a789-8773ea3bd00e,https://www.kotaksecurities.com/demat-account/conclusion-of-demat-account/
fe847d17-b048-420a-bb79-4e17bfd55442,https://www.kotaksecurities.com/demat-account/convert-physical-shares-to-demat-account/
6c9fcadd-0c87-43e9-8a98-ad6ca9219472,https://www.kotaksecurities.com/demat-account/demat-account-lowest-brokerage-charges/
0ef760fc-b67f-4ba6-806a-d5eb6550ec50,https://www.kotaksecurities.com/demat-account/demat-account-number/
2f82374e-599d-4367-9603-58a455d76d07,https://www.kotaksecurities.com/demat-account/demat-account-opening-charges/
f74834f8-9c30-4bc0-b558-acd5ba6e7054,https://www.kotaksecurities.com/demat-account/dematerialisation-vs-rematerialisation/
66fbecf5-d30a-420d-b31f-a21af1da2e37,https://www.kotaksecurities.com/demat-account/difference-between-trading-account-and-demat-account/
95decac4-ba55-4c14-8d4c-76b3cbc93116,https://www.kotaksecurities.com/demat-account/documents-required-for-demat-account/
bd59af86-8322-459d-b91f-f298d9575b58,https://www.kotaksecurities.com/demat-account/how-to-close-demat-account/
eed041e9-d259-45df-b5d1-1a4883ae6173,https://www.kotaksecurities.com/demat-account/how-to-open-demat-account-without-aadhar-card/
1eb3391d-4ea8-4d58-a2b6-582924581807,https://www.kotaksecurities.com/demat-account/how-to-reactivate-dormant-demat-account/
1b4c0602-049b-4dc2-9093-a259c0275f15,https://www.kotaksecurities.com/demat-account/how-to-sell-shares-from-demat-account/
daeae366-8241-492e-b279-1b71b8aa5e27,https://www.kotaksecurities.com/demat-account/how-to-use-demat-account/
3a280a6e-07c1-4638-889d-49d1e9fc838d,https://www.kotaksecurities.com/demat-account/importance-of-dematerialization/
481f6798-da3f-4d45-92cd-a8973ac21645,https://www.kotaksecurities.com/demat-account/informative-report-on-demat-account/
feba342d-f39a-42c1-a1d5-aa141733ed43,https://www.kotaksecurities.com/demat-account/is-demat-account-required-for-mutual-funds/
5bab5007-3d95-42dc-8752-f3434ccbfef1,https://www.kotaksecurities.com/demat-account/key-features-of-demat-account/
bb9c14e3-4f82-4bfa-a917-a51ef5146fb8,https://www.kotaksecurities.com/demat-account/open-demat-account-for-minor/
1e08ca90-bef0-4b77-a41e-99163a9b597e,https://www.kotaksecurities.com/demat-account/points-to-remember-before-opening-demat-account/
2a8216ed-89ee-4abf-951e-f8cfc2bcac96,https://www.kotaksecurities.com/demat-account/transfer-shares-from-one-demat-account-to-another/
296980b9-e2e1-4d0e-9e18-c3915ffe06cc,https://www.kotaksecurities.com/demat-account/types-of-demat-account/
d29de316-6ecf-4a87-8109-6acfa3c501e3,https://www.kotaksecurities.com/demat-account/use-of-demat-account/
f69295d5-a713-4d42-8501-f0bdf4a8c760,https://www.kotaksecurities.com/demat-account/what-is-demat-account/
8a7e2b6d-06b7-4ce3-b15a-7c330e170c6f,https://www.kotaksecurities.com/demat-account/what-is-demat-account-what-is-the-use-of-it/
adb722df-a0a9-4c04-bf4b-27718b7472c6,https://www.kotaksecurities.com/demat-account/what-is-dematerialization-account/
8d61cf92-fbea-4f2b-828d-ba19ea9dcd2e,https://www.kotaksecurities.com/demat-account/what-is-dp-id-in-demat-account/
547520b2-0697-4617-a66a-069b10d6a852,https://www.kotaksecurities.com/demat-account/why-every-indian-must-have-demat-account/
013a9649-0dc5-44b4-9304-9f2f5b2c5e66,https://www.kotaksecurities.com/ksweb/account-types/demat-account/how-to-link-your-aadhaar-number-with-demat-account
26d3d5d4-c715-47ff-9809-b3c76f045e41,https://www.kotaksecurities.com/ksweb/faqs/Customer-Service/demat-account-charges
25ac673d-d639-45a3-bc33-23640884907a,https://www.kotaksecurities.com/ksweb/Research/Investment-Knowledge-Bank/Hindi/demat-account
d9003039-67fb-4baa-80fe-2db8579061d0,https://www.kotaksecurities.com/articles/10-lesser-known-mutual-funds-that-can-make-you-rich/
cf8a635e-f8f5-4c8d-b1f4-15a6e9084bc7,https://www.kotaksecurities.com/articles/10-listed-firms-that-will-see-greatest-impact-of-fms-customs-duty-tweaks/
2f2fb0bb-8436-4e01-a387-f6e87bb95b69,https://www.kotaksecurities.com/articles/3-common-scams-in-indian-stock-market/
4d8a5258-0366-4fff-88ae-29914896f45f,https://www.kotaksecurities.com/articles/3-important-ratios-to-use-while-analysing-your-portfolio/
a258e4f3-22f8-4e32-a73b-3362da5d5d18,https://www.kotaksecurities.com/articles/3-things-about-circuit-filters/
b5135457-70f1-4845-8494-a015acd05257,https://www.kotaksecurities.com/articles/4-costs-that-eat-into-investment-returns/
635e5739-b447-4e27-b29b-d7afe978a661,https://www.kotaksecurities.com/articles/4-measures-indian-government-has-taken-to-create-jobs/
c9798fec-a4a3-4c55-8c89-7d4f6f63ea18,https://www.kotaksecurities.com/articles/4-technical-indicators-to-follow/
678ddad6-4196-45e6-8f00-e5484b4697c6,https://www.kotaksecurities.com/articles/4-things-that-link-economy-with-corporate-profits/
b3c68c3d-1a4a-470a-ac23-310b9de4d079,https://www.kotaksecurities.com/articles/4-things-to-know-about-contrarian-investing/
31d167c5-1e58-490a-ad35-58fd07439895,https://www.kotaksecurities.com/articles/4-things-to-know-about-indias-current-account-surplus/
774d3db4-1d30-4130-96bf-37f0c2be9a0a,https://www.kotaksecurities.com/articles/4-things-to-know-about-mark-to-market/
d8f9b984-0917-4dea-b5ac-8bbdf559a697,https://www.kotaksecurities.com/articles/5-important-changes-to-indias-bankruptcy-law/
d258a7ba-12c2-4309-ace4-e9981f2ef974,https://www.kotaksecurities.com/articles/5-important-numbers-to-know-about-indian-corporate-debt/
9484da85-9935-46d8-87eb-d76338c1f3d9,https://www.kotaksecurities.com/articles/5-interesting-ways-to-look-at-gold-data/
